GradeLevel,Page_Grp,ProfLevel,profLabel,Listening_Arguments,Listening_Explanations,Listening_Recounts,Oral Language_Discuss,Reading_Arguments,Reading_Explanations,Reading_Recounts,Speaking_Argue,Speaking_Explain,Speaking_Recount,Writing_Argue,Writing_Explain,Writing_Recounts
1,1,1,Entering,<startL> - Answering questions about likes and preferences }  - Identifying words or phrases that express opinions } <endL>,"<startL> - Identifying real-life objects based on descriptive oral phrases or short sentences }  - Pointing to objects or people reflective of content-related vocabulary <i>(e.g., family members)</i> } <endL>","<startL> - Mimicking gestures or movement associated with oral commands }  - Matching key words or expressions in songs, chants, and poems to illustrations } <endL>","<startL> - Tracking the speakers to demonstrate understanding }  - Sharing pictures, created work, or visuals to contribute to conversations } <endL>",,,,<startL> - Expressing preferences in naming and pointing to objects }  - Repeating language to express agreement or disagreement } <endL>,"<startL> - Answering questions with words or phrases <i>(e.g., 'Go washroom.')</i> }  - Describing pictures or classroom objects } <endL>","<startL> - Repeating words, phrases and memorized chunks of language related to different topics }  - Answering yes or no questions about stories or experiences } <endL>",,,
1,1,2,Emerging,"<startL> - Evaluating options to make personal choices from oral simple sentences }  - Signaling agreement or disagreement with short oral statements using gestures <i>(e.g., 'Today is Monday.' 'Clap one time for yes. Clap two times for no.')</i> } <endL>",<startL> - Classifying real-life objects according to their function based on oral directions }  - Interpreting oral descriptions and matching them to illustrations } <endL>,"<startL> - Acting out oral statements using manipulatives or real-life objects }  - Pointing to objects, characters or places from oral descriptions } <endL>",<startL> - Following along familiar routines of small and large groups }  - Recognizing different types of intonation used by speakers } <endL>,,,,"<startL> - Responding to short statements or questions about choices <i>(e.g., 'I am sure.' 'I am not sure.')</i> }  - Stating likes and dislikes to participate in conversations with peers } <endL>","<startL> - Demonstrating how to do something using gestures or real-life objects <i>(e.g., tie a bow)</i> }  - Describing what people do from action pictures <i>(e.g., jobs of community workers)</i> } <endL>","<startL> - Stating content-related facts in context <i>(e.g., playing telephone)</i> }  - Describing characters or places in picture books } <endL>",,,
1,1,3,Developing,"<startL> - Classifying objects according to descriptive oral statements }  - Following conditional directions <i>(e.g., 'Raise two hands if you like ice cream.')</i> } <endL>",<startL> - Following peer statements to create projects }  - Identifying illustrated cycles or processes described orally } <endL>,"<startL> - Sequencing pictures of stories read aloud <i>(e.g., beginning, middle, end)</i> }  - Following modeled oral instructions related to content } <endL>",<startL> - Asking clarifying questions }  - Inviting others to participate } <endL>,,,,<startL> - Describing characters or objects using pictures or actions }  - Stating choices of materials or supplies and reasons for their selection } <endL>,"<startL> - Stating associations between two objects, people, or events <i>(e.g., 'Lidia is my sister and Lisa is my sister.')</i> }  - Telling why something happened } <endL>",<startL> - Retelling simple stories from picture cues }  - Participating in dialog with peers on familiar topics } <endL>,,,
1,1,4,Expanding,<startL> - Organizing information from oral comparisons of people or objects }  - Identifying claims about real-life objects or events based on observations or experiences } <endL>,<startL> - Following illustrated content-related procedures shared orally }  - Organizing real-life objects based on oral comparisons } <endL>,"<startL> - Identifying characters, plots, and settings from oral stories }  - Finding details in illustrated narrative or informational text read aloud } <endL>",<startL> - Using intonation appropriate for the purposes of communication }  - Restating statements to clarify ideas } <endL>,,,,<startL> - Justifying the use of objects for particular purposes }  - Supporting content-related ideas with examples } <endL>,<startL> - Connecting ideas by building on guided conversations with peers }  - Describing in detail the function of objects or roles of people } <endL>,<startL> - Restating information with some details }  - Summarizing a series of familiar events or routines } <endL>,,,
1,1,5,Bridging,<startL> - Identifying claims and reasons from oral discourse }  - Identifying reasons for choices from oral stories } <endL>,<startL> - Organizing causes and effects of various phenomena presented orally }  - Using strategies and procedures shared by peers } <endL>,<startL> - Constructing models based on instructions from extended oral discourse with a partner }  - Following multistep oral directions during content-related activities } <endL>,<startL> - Asking and answering questions to maintain conversations }  - Elaborate on someone elseÆs comments to participate in conversations } <endL>,,,,"<startL> - Comparing and contrasting content-related ideas <i>(e.g., 'Winter is hot in Hawaii. Winter is cold in Alaska.')</i> }  - Providing evidence for specific claims } <endL>","<startL> - Stating conditions for cause and effect <i>(e.g., 'If it rains, I play inside.')</i> }  - Elaborating on details of content-related procedures } <endL>",<startL> - Presenting information on content-related topics }  - Sharing details about personal experiences with peers and adults } <endL>,,,
1,1,6,Reaching,<startL> - Identifying reasons authors give to support points in text read aloud }  - Distinguishing opinions from reasons in oral discourse } <endL>,<startL> - Identifying details from oral descriptions of processes or procedures }  - Representing ideas from oral discussions or multimedia } <endL>,"<startL> - Matching relevant details to main ideas presented in oral discourse }  - Identifying different genres through multiple readings of text by adults <i>(e.g., rhymes, stories, informational text)</i> } <endL>",<startL> - Sustaining conversations by responding to comments made in multiple exchanges }  - Asking and answering questions about key details in social and academic contexts } <endL>,,,,<startL> - Defending solutions to simple problems }  - Elaborating reasons to justify content-related ideas } <endL>,<startL> - Asking and answering content-related 'how' and 'why' questions }  - Expressing connected ideas with supporting details } <endL>,<startL> - Producing discourse appropriate to task and situation }  - Rehearsing content-related presentations with peers } <endL>,,,
1,2,1,Entering,,,,,"<startL> - Categorizing labeled pictures or photographs }  - Identifying opinions from illustrated statements <i>(e.g., likes and dislikes)</i> } <endL>",<startL> - Identifying icons from illustrated texts or media with a partner }  - Sorting objects according to their use based on labeled illustrations } <endL>,<startL> - Using pictures and illustrations to identify themes or storylines }  - Matching vocabulary to illustrated stories } <endL>,,,,<startL> - Indicating agreement with opinions of others using labeled drawings }  - Drawing icons or symbols to represent preferences } <endL>,"<startL> - Designing, drawing and labeling content-specific models }  - Identifying topics through photographs, illustrated word walls, or software } <endL>",<startL> - Forming words using a variety of strategies }  - Answering Wh- oral questions or using icons to plan stories } <endL>
1,2,2,Emerging,,,,,"<startL> - Identifying information related to events from graphics <i>(e.g., birthday charts, weather calendars)</i> }  - Sharing likes and dislikes using environmental print } <endL>",<startL> - Matching descriptive labels or headings to illustrated text }  - Identifying labeled illustrations signaled by Wh- questions } <endL>,"<startL> - Pointing to icons, letters, or illustrated words that represent ideas }  - Identifying repetitive words and phrases in texts } <endL>",,,,"<startL> - Producing simple sentences from models about likes, wants, and needs <i>(e.g., 'I likeà, I donÆt likeà')</i> }  - Supplying facts about topics } <endL>","<startL> - Labeling and illustrating observations over time <i>(e.g., growing plants)</i> }  - Describing people, places, or objects from illustrated examples } <endL>",<startL> - Providing information in graphic organizers }  - Presenting content related information labeling visuals or graphics } <endL>
1,2,3,Developing,,,,,"<startL> - Identifying persuasive words in written phrases or statements in context <i>(e.g., 'have to }  - Identifying language of wants and needs in illustrated short stories read aloud } <endL>",<startL> - Sorting illustrated content words and phrases into categories }  - Matching labeled illustrations to 'how' or 'why' questions } <endL>,"<startL> - Identifying Wh- words in questions <i>(e.g., who, what, when)</i> }  - Recalling content-related information from illustrated texts read aloud } <endL>",,,,"<startL> - Participating in interactive journals with peers }  - Stating preferences related to social and academic topics <i>(e.g., 'I want to goà')</i> } <endL>","<startL> - Classifying illustrated words and phrases into groups <i>(e.g., 'Animals that fly. Animals that swim.')</i> }  - Comparing real-life objects, numbers, or animals using models } <endL>",<startL> - Describing feelings or reactions to personal events or situations }  - Recalling information from events or experiences } <endL>
1,2,4,Expanding,,,,,<startL> - Distinguishing charactersÆ opinions or preferences from illustrated text read aloud }  - Determining the authorÆs point of view from illustrated texts } <endL>,<startL> - Finding details in illustrated narrative or informational texts read aloud }  - Identifying what authors say in oral stories } <endL>,<startL> - Identifying the main topic of texts }  - Ordering illustrations based on sequence of events from texts read aloud } <endL>,,,,<startL> - Describing patterns in processes and stories to use as evidence }  - Stating reasons for particular claims or opinions in content-related topics } <endL>,<startL> - Describing models related to content-related phenomena in pictures or real-life }  - Expressing feelings and a reason related to situations or events } <endL>,"<startL> - Producing a series of related sentences from transition word starters <i>(e.g., first, next, last)</i> }  - Describing observations firsthand or from media } <endL>"
